company_name,ticker,company_name_norm,is_gx
ティアック,6803,ティアック,0
ホシデン,6804,ホシデン,1
ヒロセ電機,6806,ヒロセ電機,0
日本航空電子工業,6807,日本航空電子工業,0
ＴＯＡ,6809,ＴＯＡ,0
マクセル,6810,マクセル,0
古野電気,6814,古野電気,0
スミダコーポレーション,6817,スミダコーポレーション,0
伊豆シャボテンリゾート,6819,伊豆シャボテンリゾート,0
アイコム,6820,アイコム,0
大井電気,6822,大井電気,0
リオン,6823,リオン,0
新コスモス電機,6824,新コスモス電機,0
アオイ電子,6832,アオイ電子,0
精工技研,6834,精工技研,0
アライドテレシスホールディングス,6835,アライドテレシスホールディングス,0
ぷらっとホーム,6836,ぷらっとホーム,0
京写,6837,京写,0
多摩川ホールディングス,6838,多摩川ホールディングス,0
ＡＫＩＢＡホールディングス,6840,ＡＫＩＢＡホールディングス,0
横河電機,6841,横河電機,1
新電元工業,6844,新電元工業,0
アズビル,6845,アズビル,1
東亜ディーケーケー,6848,東亜ディーケーケー,0
日本光電工業,6849,日本光電工業,0
チノー,6850,チノー,0
共和電業,6853,共和電業,0
日本電子材料,6855,日本電子材料,0
堀場製作所,6856,堀場製作所,0
アドバンテスト,6857,アドバンテスト,0
小野測器,6858,小野測器,0
エスペック,6859,エスペック,0
キーエンス,6861,キーエンス,0
ミナトホールディングス,6862,ミナトホールディングス,0
ニレコ,6863,ニレコ,0
エヌエフホールディングス,6864,エヌエフホールディングス,0
日置電機,6866,日置電機,0
リーダー電子,6867,リーダー電子,0
シスメックス,6869,シスメックス,0
日本フェンオール,6870,日本フェンオール,0
日本マイクロニクス,6871,日本マイクロニクス,0
協立電機,6874,協立電機,0
メガチップス,6875,メガチップス,0
ＯＢＡＲＡ　ＧＲＯＵＰ,6877,ＯＢＡＲＡ ＧＲＯＵＰ,0
三社電機製作所,6882,三社電機製作所,0
アクモス,6888,アクモス,0
フェローテック,6890,フェローテック,0
パルステック工業,6894,パルステック工業,0
ツインバード,6897,ツインバード,0
トミタ電機,6898,トミタ電機,0
ＡＳＴＩ,6899,ＡＳＴＩ,0
澤藤電機,6901,澤藤電機,0
デンソー,6902,デンソー,1
原田工業,6904,原田工業,0
コーセル,6905,コーセル,0
ジオマテック,6907,ジオマテック,0
イリソ電子工業,6908,イリソ電子工業,0
菊水ホールディングス,6912,菊水ホールディングス,0
オプテックスグループ,6914,オプテックスグループ,0
千代田インテグレ,6915,千代田インテグレ,0
アバールデータ,6918,アバールデータ,0
ケル,6919,ケル,0
レーザーテック,6920,レーザーテック,0
スタンレー電気,6923,スタンレー電気,0
ウシオ電機,6925,ウシオ電機,0
岡谷電機産業,6926,岡谷電機産業,0
ヘリオス　テクノ　ホールディング,6927,ヘリオス テクノ ホールディング,0
エノモト,6928,エノモト,0
日本セラミック,6929,日本セラミック,0
遠藤照明,6932,遠藤照明,1
古河電池,6937,古河電池,0
山一電機,6941,山一電機,0
ソフィアホールディングス,6942,ソフィアホールディングス,0
ＮＫＫスイッチズ,6943,ＮＫＫスイッチズ,0
日本アビオニクス,6946,日本アビオニクス,0
図研,6947,図研,0
日本電子,6951,日本電子,0
カシオ計算機,6952,カシオ計算機,0
ファナック,6954,ファナック,0
ＦＤＫ,6955,ＦＤＫ,0
芝浦電子,6957,芝浦電子,0
日本シイエムケイ,6958,日本シイエムケイ,0
フクダ電子,6960,フクダ電子,0
エンプラス,6961,エンプラス,0
大真空,6962,大真空,0
ローム,6963,ローム,1
サンコー,6964,サンコー,0
浜松ホトニクス,6965,浜松ホトニクス,1
三井ハイテック,6966,三井ハイテック,0
松尾電機,6969,松尾電機,0
京セラ,6971,京セラ,1
太陽誘電,6976,太陽誘電,0
日本抵抗器製作所,6977,日本抵抗器製作所,0
村田製作所,6981,村田製作所,1
リード,6982,リード,0
双葉電子工業,6986,双葉電子工業,0
日東電工,6988,日東電工,1
北陸電気工業,6989,北陸電気工業,0
大黒屋ホールディングス,6993,大黒屋ホールディングス,0
指月電機製作所,6994,指月電機製作所,0
東海理化電機製作所,6995,東海理化電機製作所,1
ニチコン,6996,ニチコン,1
日本ケミコン,6997,日本ケミコン,0
日本タングステン,6998,日本タングステン,0
ＫＯＡ,6999,ＫＯＡ,0
三井Ｅ＆Ｓ,7003,三井Ｅ＆Ｓ,0
カナデビア,7004,カナデビア,1
三菱重工業,7011,三菱重工業,1
川崎重工業,7012,川崎重工業,1
ＩＨＩ,7013,ＩＨＩ,1
名村造船所,7014,名村造船所,0
内海造船,7018,内海造船,0
ニッチツ,7021,ニッチツ,0
サノヤスホールディングス,7022,サノヤスホールディングス,0
スプリックス,7030,スプリックス,0
インバウンドテック,7031,インバウンドテック,0
マネジメントソリューションズ,7033,マネジメントソリューションズ,0
プロレド・パートナーズ,7034,プロレド・パートナーズ,0
ａｎｄ　ｆａｃｔｏｒｙ,7035,ａｎｄ ｆａｃｔｏｒｙ,0
イーエムネットジャパン,7036,イーエムネットジャパン,0
テノ．ホールディングス,7037,テノ．ホールディングス,0
フロンティア・マネジメント,7038,フロンティア・マネジメント,0
ブリッジインターナショナルグループ,7039,ブリッジインターナショナルグループ,0
サン・ライフホールディング,7040,サン・ライフホールディング,0
ＣＲＧホールディングス,7041,ＣＲＧホールディングス,0
アクセスグループ・ホールディングス,7042,アクセスグループ・ホールディングス,0
アルー,7043,アルー,0
ピアラ,7044,ピアラ,0
ＴＤＳＥ,7046,ＴＤＳＥ,0
ポート,7047,ポート,0
ベルトラ,7048,ベルトラ,0
識学,7049,識学,0
フロンティアインターナショナル,7050,フロンティアインターナショナル,0
マルク,7056,マルク,0
エヌ・シー・エヌ,7057,エヌ・シー・エヌ,0
共栄セキュリティーサービス,7058,共栄セキュリティーサービス,0
コプロ・ホールディングス,7059,コプロ・ホールディングス,0
ギークス,7060,ギークス,0
日本ホスピスホールディングス,7061,日本ホスピスホールディングス,0
フレアス,7062,フレアス,0
Ｂｉｒｄｍａｎ,7063,Ｂｉｒｄｍａｎ,0
ハウテレビジョン,7064,ハウテレビジョン,0
ユーピーアール,7065,ユーピーアール,0
ピアズ,7066,ピアズ,0
ブランディングテクノロジー,7067,ブランディングテクノロジー,0
フィードフォースグループ,7068,フィードフォースグループ,0
サイバー・バズ,7069,サイバー・バズ,0
アンビスホールディングス,7071,アンビスホールディングス,0
インティメート・マージャー,7072,インティメート・マージャー,0
ジェイック,7073,ジェイック,0
トゥエンティーフォーセブンホールディングス,7074,トゥエンティーフォーセブンホールディングス,0
ＱＬＳホールディングス,7075,ＱＬＳホールディングス,0
ＡＬｉＮＫインターネット,7077,ＡＬｉＮＫインターネット,0
ＩＮＣＬＵＳＩＶＥ　Ｈｏｌｄｉｎｇｓ,7078,ＩＮＣＬＵＳＩＶＥ Ｈｏｌｄｉｎｇｓ,0
ＷＤＢココ,7079,ＷＤＢココ,0
スポーツフィールド,7080,スポーツフィールド,0
コーユーレンティア,7081,コーユーレンティア,0
ジモティー,7082,ジモティー,0
ＡＨＣグループ,7083,ＡＨＣグループ,0
Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,7084,Ｓｍｉｌｅ Ｈｏｌｄｉｎｇｓ,0
カーブスホールディングス,7085,カーブスホールディングス,0
ウイルテック,7087,ウイルテック,0
フォーラムエンジニアリング,7088,フォーラムエンジニアリング,0
フォースタートアップス,7089,フォースタートアップス,0
リグア,7090,リグア,0
リビングプラットフォーム,7091,リビングプラットフォーム,0
Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,7092,Ｆａｓｔ Ｆｉｔｎｅｓｓ Ｊａｐａｎ,0
アディッシュ,7093,アディッシュ,0
ＮｅｘＴｏｎｅ,7094,ＮｅｘＴｏｎｅ,0
Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,7095,Ｍａｃｂｅｅ Ｐｌａｎｅｔ,0
