ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
1624,NEXT FUNDS TOPIX-17 MACHINERY ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17MACHINERYETF,1,ETF keyword (long name),cache
1625,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17ELECTRICPRECISIONINSTRUMENTSETF,1,ETF keyword (long name),cache
1626,"NEXT FUNDS TOPIX-17 IT & SERVICES,OTHERS ETF",NOMURA ASSET MANAGEMENT CO LTD ,"NEXTFUNDSTOPIX-17ITSERVICES,OTHERSETF",1,ETF keyword (long name),cache
1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17ELECTRICPOWERGASETF,1,ETF keyword (long name),cache
1628,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17TRANSPORTATIONLOGISTICSETF,1,ETF keyword (long name),cache
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17COMMERCIALWHOLESALETRADEETF,1,ETF keyword (long name),cache
162A,AI Select Megatrend Japan Equity Net Return ETN,MITSUBISHI UFJ SECURITIES CO LT,AISELECTMEGATRENDJAPANEQUITYNETRETURNETN,1,ETN keyword (long name),cache
1630,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17RETAILTRADEETF,1,ETF keyword (long name),cache
1631,NEXT FUNDS TOPIX-17 BANKS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17BANKSETF,1,ETF keyword (long name),cache
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17FINANCIALS(EXBANKS)ETF,1,ETF keyword (long name),cache
1633,NEXT FUNDS TOPIX-17 REAL ESTATE ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17REALESTATEETF,1,ETF keyword (long name),cache
163A,Semiconductor Focus Japan Equity Net Return ETN,MITSUBISHI UFJ SECURITIES CO LT,SEMICONDUCTORFOCUSJAPANEQUITYNETRETURNETN,1,ETN keyword (long name),cache
164A,,"164A.T,0P0001SJ4H,0","164A.T,0P0001SJ4H,0",0,,cache
1651,Daiwa ETF TOPIX High Dividend Yield 40 Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFTOPIXHIGHDIVIDENDYIELD40INDEX,1,ETF keyword (long name),cache
1652,Daiwa ETF MSCI Japan Empowering Women Index (WIN),DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFMSCIJAPANEMPOWERINGWOMENINDEX(WIN),1,ETF keyword (long name),cache
1653,Daiwa ETF MSCI Japan ESG Select Leaders Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFMSCIJAPANESGSELECTLEADERSINDEX,1,ETF keyword (long name),cache
1654,Daiwa ETF FTSE Blossom Japan Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFFTSEBLOSSOMJAPANINDEX,1,ETF keyword (long name),cache
1655,iShares S&P 500 ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESSP500ETF,1,ETF keyword (long name),cache
1656,iShares Core 7-10 Year US Treasury Bond ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESCORE7-10YEARUSTREASURYBONDETF,1,ETF keyword (long name),cache
1657,iShares Core MSCI Kokusai ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESCOREMSCIKOKUSAIETF,1,ETF keyword (long name),cache
1658,iShares Core MSCI Emerging Markets IMI ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESCOREMSCIEMERGINGMARKETSIMIETF,1,ETF keyword (long name),cache
