company_name,ticker,company_name_norm
ヤシマキザイ,7677,ヤシマキザイ
あさくま,7678,あさくま
薬王堂ホールディングス,7679,薬王堂ホールディングス
軽自動車館,7680,軽自動車館
レオクラン,7681,レオクラン
浜木綿,7682,浜木綿
ダブルエー,7683,ダブルエー
ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,7685,ＢｕｙＳｅｌｌ Ｔｅｃｈｎｏｌｏｇｉｅｓ
ひとまいる,7686,ひとまいる
ミクリード,7687,ミクリード
コパ・コーポレーション,7689,コパ・コーポレーション
カレント自動車,7690,カレント自動車
Ｃ　Ｃｈａｎｎｅｌ,7691,Ｃ Ｃｈａｎｎｅｌ
アースインフィニティ,7692,アースインフィニティ
北海道歯科産業,7693,北海道歯科産業
いつも,7694,いつも
交換できるくん,7695,交換できるくん
アイスコ,7698,アイスコ
オムニ・プラス・システム・リミテッド　ＪＤＲ,7699,オムニ・プラス・システム・リミテッド ＪＤＲ
島津製作所,7701,島津製作所
ＪＭＳ,7702,ＪＭＳ
プレシジョン・システム・サイエンス,7707,プレシジョン・システム・サイエンス
クボテック,7709,クボテック
助川電気工業,7711,助川電気工業
シグマ光機,7713,シグマ光機
長野計器,7715,長野計器
ナカニシ,7716,ナカニシ
ブイ・テクノロジー,7717,ブイ・テクノロジー
スター精密,7718,スター精密
東京衡機,7719,東京衡機
東京計器,7721,東京計器
国際計測器,7722,国際計測器
愛知時計電機,7723,愛知時計電機
インターアクション,7725,インターアクション
黒田精工,7726,黒田精工
オーバル,7727,オーバル
東京精密,7729,東京精密
マニー,7730,マニー
ニコン,7731,ニコン
トプコン,7732,トプコン
オリンパス,7733,オリンパス
理研計器,7734,理研計器
ＳＣＲＥＥＮホールディングス,7735,ＳＣＲＥＥＮホールディングス
キヤノン電子,7739,キヤノン電子
タムロン,7740,タムロン
ＨＯＹＡ,7741,ＨＯＹＡ
シード,7743,シード
ノーリツ鋼機,7744,ノーリツ鋼機
Ａ＆Ｄホロンホールディングス,7745,Ａ＆Ｄホロンホールディングス
岡本硝子,7746,岡本硝子
朝日インテック,7747,朝日インテック
メディキット,7749,メディキット
キヤノン,7751,キヤノン
リコー,7752,リコー
ＩＭＶ,7760,ＩＭＶ
シチズン時計,7762,シチズン時計
リズム,7769,リズム
日本精密,7771,日本精密
ジャパン・ティッシュエンジニアリング,7774,ジャパン・ティッシュエンジニアリング
大研医器,7775,大研医器
セルシード,7776,セルシード
スリー・ディー・マトリックス,7777,スリー・ディー・マトリックス
ＣＹＢＥＲＤＹＮＥ,7779,ＣＹＢＥＲＤＹＮＥ
メニコン,7780,メニコン
平山ホールディングス,7781,平山ホールディングス
シンシア,7782,シンシア
ドリームベッド,7791,ドリームベッド
コラントッテ,7792,コラントッテ
イメージ・マジック,7793,イメージ・マジック
イーディーピー,7794,イーディーピー
ＫＹＯＲＩＴＳＵ,7795,ＫＹＯＲＩＴＳＵ
アミファ,7800,アミファ
ブシロード,7803,ブシロード
ビーアンドピー,7804,ビーアンドピー
プリントネット,7805,プリントネット
ＭＴＧ,7806,ＭＴＧ
幸和製作所,7807,幸和製作所
シー・エス・ランバー,7808,シー・エス・ランバー
壽屋,7809,壽屋
クロスフォー,7810,クロスフォー
中本パックス,7811,中本パックス
クレステック,7812,クレステック
プラッツ,7813,プラッツ
日本創発グループ,7814,日本創発グループ
東京ボード工業,7815,東京ボード工業
パラマウントベッドホールディングス,7817,パラマウントベッドホールディングス
トランザクション,7818,トランザクション
粧美堂,7819,粧美堂
ニホンフラッシュ,7820,ニホンフラッシュ
前田工繊,7821,前田工繊
永大産業,7822,永大産業
アートネイチャー,7823,アートネイチャー
フルヤ金属,7826,フルヤ金属
オービス,7827,オービス
ウイルコホールディングス,7831,ウイルコホールディングス
バンダイナムコホールディングス,7832,バンダイナムコホールディングス
アイフィスジャパン,7833,アイフィスジャパン
アビックス,7836,アビックス
アールシーコア,7837,アールシーコア
ＳＨＯＥＩ,7839,ＳＨＯＥＩ
フランスベッドホールディングス,7840,フランスベッドホールディングス
遠藤製作所,7841,遠藤製作所
マーベラス,7844,マーベラス
パイロットコーポレーション,7846,パイロットコーポレーション
グラファイトデザイン,7847,グラファイトデザイン
スターツ出版,7849,スターツ出版
総合商研,7850,総合商研
カワセコンピュータサプライ,7851,カワセコンピュータサプライ
萩原工業,7856,萩原工業
セキ,7857,セキ
アルメディオ,7859,アルメディオ
エイベックス,7860,エイベックス
平賀,7863,平賀
フジシールインターナショナル,7864,フジシールインターナショナル
ピープル,7865,ピープル
タカラトミー,7867,タカラトミー
広済堂ホールディングス,7868,広済堂ホールディングス
フクビ化学工業,7871,フクビ化学工業
エステールホールディングス,7872,エステールホールディングス
レック,7874,レック
竹田ｉＰホールディングス,7875,竹田ｉＰホールディングス
永大化工,7877,永大化工
光・彩,7878,光・彩
ノダ,7879,ノダ
サンメッセ,7883,サンメッセ
タカノ,7885,タカノ
ヤマト　モビリティ　＆　Ｍｆｇ．,7886,ヤマト モビリティ ＆ Ｍｆｇ．
南海プライウッド,7887,南海プライウッド
三光合成,7888,三光合成
