gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
東ソー株式会社,4042,東ソー,東ソー,東ソー株式会社,化学工業,2.0
東邦チタニウム株式会社,5727,東邦チタニウム,東邦チタニウム,東邦チタニウム株式会社,非鉄金属製造業,2.0
東洋紡株式会社,3101,東洋紡,東洋紡,東洋紡株式会社,化学工業,2.0
東レ株式会社,3402,東レ,東レ,東レ株式会社,化学工業,2.0
トピー工業株式会社,7231,トピー工業,トピー工業,トピー工業株式会社,輸送用機械器具製造業,1.0
トーヨーカネツ株式会社,6369,トーヨーカネツ,トーヨーカネツ,トーヨーカネツ株式会社,はん用、生産用、業務用機械器具製造業,1.0
豊田合成株式会社,7282,豊田合成,豊田合成,豊田合成株式会社,輸送用機械器具製造業,1.0
トヨタ自動車株式会社,7203,トヨタ自動車,トヨタ自動車,トヨタ自動車株式会社,輸送用機械器具製造業,1.0
トヨタ紡織株式会社,3116,トヨタ紡織,トヨタ紡織,トヨタ紡織株式会社,輸送用機械器具製造業,1.0
ニチコン株式会社,6996,ニチコン,ニチコン,ニチコン株式会社,電子部品・デバイス・電子回路製造業,1.0
日油株式会社,4403,日油,日油,日油株式会社,化学工業,2.0
日産化学株式会社,4021,日産化学,日産化学,日産化学株式会社,化学工業,2.0
日産自動車株式会社,7201,日産自動車,日産自動車,日産自動車株式会社,輸送用機械器具製造業,1.0
日清食品ホールディングス株式会社,2897,日清食品ホールディングス,日清食品ホールディングス,日清食品ホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1.0
日東工業株式会社,6651,日東工業,日東工業,日東工業株式会社,電気機械器具製造業,1.0
日東電工株式会社,6988,日東電工,日東電工,日東電工株式会社,化学工業,2.0
日本板硝子株式会社,5202,日本板硝子,日本板硝子,日本板硝子株式会社,窯業・土石製品製造業,2.0
日本軽金属ホールディングス株式会社,5703,日本軽金属ホールディングス,日本軽金属ホールディングス,日本軽金属ホールディングス株式会社,非鉄金属製造業,2.0
日本精工株式会社,6471,日本精工,日本精工,日本精工株式会社,はん用、生産用、業務用機械器具製造業,1.0
日本ゼオン株式会社,4205,日本ゼオン,日本ゼオン,日本ゼオン株式会社,化学工業,2.0
日本製紙株式会社,3863,日本製紙,日本製紙,日本製紙株式会社,パルプ・紙・紙加工品製造業,1.0
日本製鉄株式会社,5401,日本製鉄,日本製鉄,日本製鉄株式会社,鉄鋼業,2.0
日本特殊陶業株式会社,5334,日本特殊陶業,日本特殊陶業,日本特殊陶業株式会社,窯業・土石製品製造業,2.0
日本冶金工業株式会社,5480,日本冶金工業,日本冶金工業,日本冶金工業株式会社,鉄鋼業,2.0
パナソニック ホールディングス株式会社,6752,パナソニック　ホールディングス,パナソニックホールディングス,パナソニックホールディングス株式会社,電気機械器具製造業,1.0
浜松ホトニクス株式会社,6965,浜松ホトニクス,浜松ホトニクス,浜松ホトニクス株式会社,電子部品・デバイス・電子回路製造業,1.0
ハリマ化成グループ株式会社,4410,ハリマ化成グループ,ハリマ化成グループ,ハリマ化成グループ株式会社,化学工業,2.0
日立建機株式会社,6305,日立建機,日立建機,日立建機株式会社,その他の製造業,1.0
日野自動車株式会社,7205,日野自動車,日野自動車,日野自動車株式会社,輸送用機械器具製造業,1.0
不二サッシ株式会社,5940,不二サッシ,不二サッシ,不二サッシ株式会社,金属製品製造業,1.0
富士石油株式会社,5017,富士石油,富士石油,富士石油株式会社,石油製品・石炭製品製造業,2.0
富士電機株式会社,6504,富士電機,富士電機,富士電機株式会社,電気機械器具製造業,1.0
富士フイルムホールディングス株式会社,4901,富士フイルムホールディングス,富士フイルムホールディングス,富士フイルムホールディングス株式会社,化学工業,2.0
北越コーポレーション株式会社,3865,北越コーポレーション,北越コーポレーション,北越コーポレーション株式会社,パルプ・紙・紙加工品製造業,1.0
ホシデン株式会社,6804,ホシデン,ホシデン,ホシデン株式会社,電子部品・デバイス・電子回路製造業,1.0
本田技研工業株式会社,7267,本田技研工業,本田技研工業,本田技研工業株式会社,輸送用機械器具製造業,1.0
マツダ株式会社,7261,マツダ,マツダ,マツダ株式会社,輸送用機械器具製造業,1.0
マブチモーター株式会社,6592,マブチモーター,マブチモーター,マブチモーター株式会社,電気機械器具製造業,1.0
三浦工業株式会社,6005,三浦工業,三浦工業,三浦工業株式会社,はん用、生産用、業務用機械器具製造業,1.0
三井化学株式会社,4183,三井化学,三井化学,三井化学株式会社,化学工業,2.0
三菱ケミカルグループ株式会社,4188,三菱ケミカルグループ,三菱ケミカルグループ,三菱ケミカルグループ株式会社,化学工業,2.0
三菱自動車工業株式会社,7211,三菱自動車工業,三菱自動車工業,三菱自動車工業株式会社,輸送用機械器具製造業,1.0
三菱重工業株式会社,7011,三菱重工業,三菱重工業,三菱重工業株式会社,はん用、生産用、業務用機械器具製造業,1.0
