"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2017-125342","特願2016-004907","2016/01/14","2017/07/20","地中外殻構造体の構築方法","戸田建設株式会社","E21D13/02,E21D9/04@F,E21D9/06,311@A,E21D11/04@A","特開2017-125342","","特許6602676","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-125342/11/ja"
"特開2017-125340","特願2016-004893","2016/01/14","2017/07/20","地中外殻構造体の構築方法","戸田建設株式会社","E21D9/04@F,E21D11/04@A,E21D9/06,311@A,E21D13/02","特開2017-125340","","特許6675201","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-125340/11/ja"
"特開2017-124958","特願2016-006172","2016/01/15","2017/07/20","耐爆裂性コンクリート","株式会社フジタ,株式会社安藤・間,株式会社熊谷組,戸田建設株式会社,佐藤工業株式会社,西松建設株式会社,前田建設工業株式会社","C04B28/02,E04B1/94@T,C04B16/06@E,C04B16/06@A","特開2017-124958","","特許6728696","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-124958/11/ja"
"特開2017-115476","特願2015-253358","2015/12/25","2017/06/29","地盤環境における振動低減方法とその振動低減用重り","戸田建設株式会社","E02D31/08","特開2017-115476","","特許6523945","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-115476/11/ja"
"特開2017-115468","特願2015-253062","2015/12/25","2017/06/29","免震装置の取付構造及び免震装置の取付方法","戸田建設株式会社,昭和電線デバイステクノロジー株式会社,昭和電線ケーブルシステム株式会社","E04H9/02,331@A,F16F15/04@A,F16F1/40,F16F15/04@P","特開2017-115468","","特許6725245","","","特許 有効","出願人・権利者等データ変更申請の却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-115468/11/ja"
"特開2017-110486","特願2016-138284","2016/07/13","2017/06/22","ロックボルト頭部の定着具","戸田建設株式会社","E21D20/00@F","特開2017-110486","","特許6762154","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-110486/11/ja"
"特開2017-106252","特願2015-241397","2015/12/10","2017/06/15","山岳トンネルにおける覆工コンクリート構造体及びそのための複合機能性シート","戸田建設株式会社","E21D11/00@Z,E21D11/38@Z","特開2017-106252","","特許6731242","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-106252/11/ja"
"特開2017-072019","特願2016-068265","2016/03/30","2017/04/13","トンネル掘削機及びトンネル掘削方法","戸田建設株式会社,川崎重工業株式会社","E21D9/06,301@D","特開2017-072019","","特許6615034","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-072019/11/ja"
"特開2017-064605","特願2015-191310","2015/09/29","2017/04/06","シールド工事における重金属汚泥水の処理方法","戸田建設株式会社","C02F11/00@J,B03C1/14,B03B5/00@Z,C02F11/12@Z,B03C1/00@B,C02F11/127,C02F11/12","特開2017-064605","","特許6599190","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-064605/11/ja"
"特開2017-036549","特願2015-156856","2015/08/07","2017/02/16","天井構造","フクビ化学工業株式会社,戸田建設株式会社","E04B5/52@A,E04B1/82@F,E04B1/82@V,E04B1/98@C,E04B9/00@A","特開2017-036549","","特許6504966","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-036549/11/ja"
"特開2017-036548","特願2015-156855","2015/08/07","2017/02/16","制振体","フクビ化学工業株式会社,戸田建設株式会社","E04B5/52@A,E04B1/82@F,E04B1/82@V,E04B9/00@A","特開2017-036548","","特許6504965","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-036548/11/ja"
