"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2021-170902","特願2020-073898","2020/04/17","2021/10/28","放電回路","シンフォニアテクノロジー株式会社","H02J1/00,306@L,H02M3/00@C,H02J1/00","特開2021-170902","","特許7534594","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-170902/11/ja"
"特許7614516","特願2022-511842","2021/03/17","2021/10/07","振動搬送装置及びそれを備える多列振動搬送システム","シンフォニアテクノロジー株式会社","B65G27/16","WO2021/200150","","特許7614516","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7614516/15/ja"
"特開2021-141766","特願2020-039301","2020/03/06","2021/09/16","リニアアクチュエータ及びそれに含まれる積層コアの製造方法","シンフォニアテクノロジー株式会社","H02K1/18@B,H02K15/0273","特開2021-141766","","特許7502602","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141766/11/ja"
"特開2021-141699","特願2020-037224","2020/03/04","2021/09/16","リニアアクチュエータ","シンフォニアテクノロジー株式会社","H02K9/02@Z,H02K41/03@A,H02K33/16@A","特開2021-141699","","特許7473788","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141699/11/ja"
"特開2021-141687","特願2020-036918","2020/03/04","2021/09/16","回転電機","シンフォニアテクノロジー株式会社,三菱重工エンジン＆ターボチャージャ株式会社","H02K5/20,H02K5/24@A","特開2021-141687","","特許7554564","拒絶2024-011764","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141687/11/ja"
"特開2021-141686","特願2020-036916","2020/03/04","2021/09/16","回転電機","シンフォニアテクノロジー株式会社,三菱重工エンジン＆ターボチャージャ株式会社","H02K5/20,H02K5/24@A","特開2021-141686","","特許7554563","拒絶2024-011763","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141686/11/ja"
"特開2021-141635","特願2020-034708","2020/03/02","2021/09/16","インバータ試験装置","シンフォニアテクノロジー株式会社","H02M7/493","特開2021-141635","","特許7436812","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141635/11/ja"
"特開2021-141634","特願2020-034707","2020/03/02","2021/09/16","モータ特性取得装置及びモータ特性取得方法","シンフォニアテクノロジー株式会社","H02P21/16,H02P21/06","特開2021-141634","","特許7445121","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-141634/11/ja"
"特開2021-140221","特願2020-034709","2020/03/02","2021/09/16","共振抑制制御装置","シンフォニアテクノロジー株式会社","G05B13/02@C,H02P29/02","特開2021-140221","","特許7348526","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-140221/11/ja"
"特開2021-136712","特願2020-028748","2020/02/21","2021/09/13","リニアアクチュエータ","シンフォニアテクノロジー株式会社","H02K41/03@A,H02K1/18@D,H02K1/18@B","特開2021-136712","","特許7417077","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-136712/11/ja"
