会社名,業種,排出量区分
株式会社ティアフォー,サービス業 (他に分類されないもの),0
株式会社日本旅行,サービス業 (他に分類されないもの),0
株式会社バイウィル,サービス業 (他に分類されないもの),0
株式会社博報堂ＤＹホールディングス,サービス業 (他に分類されないもの),0
株式会社船井総研ホールディングス,サービス業 (他に分類されないもの),0
株式会社宮城衛生環境公社,サービス業 (他に分類されないもの),0
株式会社メルカリ,サービス業 (他に分類されないもの),0
加山興業株式会社,サービス業 (他に分類されないもの),0
クレアトゥラ株式会社,サービス業 (他に分類されないもの),0
株式会社京葉興業,サービス業 (他に分類されないもの),0
サイクラーズ株式会社,サービス業 (他に分類されないもの),0
セコム株式会社,サービス業 (他に分類されないもの),0
綜合警備保障株式会社,サービス業 (他に分類されないもの),0
日本カーボンマネジメント株式会社,サービス業 (他に分類されないもの),0
備前グリーンエネルギー株式会社,サービス業 (他に分類されないもの),0
藤沢市資源循環協同組合,サービス業 (他に分類されないもの),0
ブルードットグリーン株式会社,サービス業 (他に分類されないもの),0
八千代エンジニヤリング株式会社,サービス業 (他に分類されないもの),0
リクロマ株式会社,サービス業 (他に分類されないもの),0
株式会社レックスホールディングス,サービス業 (他に分類されないもの),0
レスク株式会社,サービス業 (他に分類されないもの),0
株式会社毛髪クリニック リーブ21,サービス業 (他に分類されないもの),0
匠ファイナンシャル・アドバイザリー合同会社,サービス業 (他に分類されないもの),0
株式会社GM7,サービス業 (他に分類されないもの),0
BLOOMX ALLIANCE株式会社,サービス業 (他に分類されないもの),0
株式会社エネルギーソリューションジャパン,サービス業 (他に分類されないもの),0
一般社団法人日本カーボンニュートラル機構,サービス業 (他に分類されないもの),0
社外・アイデア企画室株式会社,サービス業 (他に分類されないもの),0
株式会社ユーフォリアプラス,サービス業 (他に分類されないもの),0
有限会社エムアール環境計画,サービス業 (他に分類されないもの),0
株式会社大建,サービス業 (他に分類されないもの),0
株式会社エンビプロ・ホールディングス,サービス業 (他に分類されないもの),0
VESTM株式会社,サービス業 (他に分類されないもの),0
一般社団法人日本経営士会,サービス業 (他に分類されないもの),0
株式会社SEESAW,サービス業 (他に分類されないもの),0
一般社団法人ソーシャル企業認証機構,サービス業 (他に分類されないもの),0
トランスコスモス株式会社,サービス業 (他に分類されないもの),0
株式会社浜田,サービス業 (他に分類されないもの),0
有限会社サンライズ・システム,サービス業 (他に分類されないもの),0
Ａｋａｙｓｈａ　Ｅｎｅｒｇｙ　Ｊａｐａｎ株式会社,分類不能の産業,0
ＳＡＧＡ　ＣＯＬＬＥＣＴＩＶＥ協同組合,分類不能の産業,0
東京センチュリー株式会社,分類不能の産業,0
株式会社トライ・エックス,未分類の製造業,0
株式会社バイオマスレジンホールディングス,未分類の製造業,0
バイオマスエナジー株式会社,未分類の製造業,0
株式会社ノーリツ,未分類の製造業,0
未来科学株式会社,未分類の製造業,0
株式会社ティラド,未分類の製造業,0
リタール株式会社,未分類の製造業,0
有限会社井上製麺,未分類の製造業,0
丸秀醤油株式会社,未分類の製造業,0
レグナテック株式会社,未分類の製造業,0
ボッシュ株式会社,未分類の製造業,0
田中鉄工株式会社,未分類の製造業,0
天山酒造株式会社,未分類の製造業,0
UCCジャパン株式会社,未分類の製造業,0
清水技研株式会社,未分類の製造業,0
三福海苔株式会社,未分類の製造業,0
名尾手すき和紙株式会社,未分類の製造業,0
株式会社AESCジャパン,未分類の製造業,0
マツヤ産業株式会社,未分類の製造業,0
株式会社キッツ,未分類の製造業,0
吉島伸一鍋島緞通株式会社,未分類の製造業,0
株式会社村井,未分類の製造業,0
株式会社アマノ,未分類の製造業,0
株式会社富士美化成,未分類の製造業,0
コニカミノルタ株式会社,未分類の製造業,0
株式会社ユーグレナ,未分類の製造業,0
株式会社小野原製茶問屋,未分類の製造業,0
サンメッセ株式会社,未分類の製造業,0
株式会社広信工業,未分類の運輸業・郵便業,1
株式会社マルハリ,未分類の運輸業・郵便業,1
株式会社FORIMO,未分類の運輸業・郵便業,1
小平株式会社,未分類の電気・ガス・熱供給・水道業,2
Flex Battery Investment 株式会社,未分類の電気・ガス・熱供給・水道業,2
スマートソーラー株式会社,未分類の電気・ガス・熱供給・水道業,2
イーディーエフ・ジャパン株式会社,未分類の電気・ガス・熱供給・水道業,2
株式会社アイ・グリッド・ソリューションズ,未分類の電気・ガス・熱供給・水道業,2
HTBエナジー株式会社,未分類の電気・ガス・熱供給・水道業,2
