法人番号,特定排出者コード,事業者・事業所名,区分,業種,所在地,"温室効果ガス算定排出量(tCO2)",ページ
2080001008256,420145946,エスエスケイフーズ株式会社,特定事業所排出者,食料品製造業,静岡県静岡市,9073,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=420145946&repDivID=1"
2011201000827,982251139,ＮＴＴ印刷株式会社,特定事業所排出者,印刷・同関連業,東京都中央区,9069,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982251139&repDivID=1"
2240001016630,680004462,株式会社ニチレイ・ロジスティクス中四国,特定事業所排出者,倉庫業,広島県広島市,9064,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=680004462&repDivID=1"
2360005002656,900068155,生活協同組合コープおきなわ,特定事業所排出者,各種商品小売業,沖縄県浦添市,9059,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=900068155&repDivID=1"
7010001043552,985188404,株式会社コーセー,特定事業所排出者,その他の卸売業,東京都中央区,9059,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985188404&repDivID=1"
8010001142188,985630582,三井物産グローバルロジスティクス株式会社,特定事業所排出者,倉庫業,東京都港区,9058,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985630582&repDivID=1"
3120001030205,581231847,アジア太平洋トレードセンター株式会社,特定事業所排出者,不動産賃貸業・管理業,大阪府大阪市,9057,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581231847&repDivID=1"
9320001011071,830362773,株式会社ヨロズ大分,特定事業所排出者,輸送用機械器具製造業,大分県中津市,9056,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=830362773&repDivID=1"
9320001011724,180546054,ＴＯＴＯファインセラミックス株式会社,特定事業所排出者,窯業・土石製品製造業,大分県中津市,9055,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=180546054&repDivID=1"
1010701016549,982233373,三菱総研ＤＣＳ株式会社,特定事業所排出者,情報サービス業,東京都品川区,9055,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982233373&repDivID=1"
4480001001730,720018576,徳島バス株式会社,特定旅客輸送事業者,道路旅客運送業,徳島県徳島市,9054,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=720018576&repDivID=3"
8012305000162,985417178,学校法人玉川学園,特定事業所排出者,学校教育,東京都町田市,9053,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985417178&repDivID=1"
1080001020864,075018489,新東海製紙株式会社,特定荷主,パルプ・紙・紙加工品製造業,静岡県島田市,9050,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=075018489&repDivID=5"
6040001057294,260053745,南総通運株式会社,特定貨物輸送事業者,道路貨物運送業,千葉県東金市,9047,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=260053745&repDivID=2"
6010001196062,905026121,株式会社日立インダストリアルプロダクツ,特定事業所排出者,はん用機械器具製造業,東京都千代田区,9045,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=905026121&repDivID=1"
8120901011027,580023394,サンスター株式会社,特定事業所排出者,化学工業,大阪府高槻市,9044,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580023394&repDivID=1"
4080401010561,581023218,日本ケイカル株式会社,特定事業所排出者,窯業・土石製品製造業,静岡県浜松市,9041,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581023218&repDivID=1"
1120001059675,581100003,西日本旅客鉄道株式会社,特定事業所排出者,鉄道業,大阪府大阪市,9041,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581100003&repDivID=1"
9030001031917,983579300,キャストフィルムジャパン株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,埼玉県幸手市,9035,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=983579300&repDivID=1"
8030001065552,260287664,株式会社サイゼリヤ,特定荷主,飲食店,埼玉県吉川市,9032,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=260287664&repDivID=5"
